104,,\N[2],Was born in the northern snowfields.,Joined the expedition as a guide.,,,,,,,,,,,
105,,\N[2],Lost her parents and younger brother,on the night of black snow\c and was,saved by \N[6]’s wizard squad.,Discovered her magical aptitude around,the same time\c but any relation to the,night of black snow is unclear.,,,,,,,
106,,\N[2],Ended up working in the cafe with,\N[5]\c who had left \N[3]’s employ.,,,,,,,,,,,
107,,\N[2],Fought valiantly against the monsters,in the third district during the second,night of black snow.,,,,,,,,,,
108,,\N[2],Discovered her magical aptitude,on the night of black snow and defeated,her parents and brother after they,transformed into monsters. It is thought,that she kept her human form due to,the aforementioned magical aptitude.,Was broken in spirit after being taken,in by the orphanage\c but communication,with \N[6] and the orphans brought her,to where she is today.,,,
109,,\N[2],Conditional Danger Level Removal:,From \N[2]’s understanding of magic\c ,contribution to the defeat of the,monsters\c and relatively stable mental,condition\c it has been decided that her,danger level be removed\c with the,condition that she is kept under the,watch of \N[6]. Because of her strong,desire to have memories of \N[5] erased\c,she will be given priority.,,,
110,,\N[2],Consent Form:,This record is an explanation,of the purpose and process of,Subject \N[2]’s memory erasure. If you,have any questions\c please ask.,Enforcer: \N[7],(Contents Abridged),I have been fully informed and,give my informed consent.,Signature: \N[2],,,
111,,\N[2],To \N[5].,I heard everything from \N[7] and \N[4].,I heard about how your magic turned,\N[14] into a monster\c too.,You never told me anything\c huh? That’s,no fair.,You really are unreliable\c \N[5].,Because you’re not like my little,brother at all.,But part of me had a sneaking suspicion.,Just a little bit of one.,You didn’t notice\c did you?,
112,,\N[2],When I think back\c we pushed ourselves,a lot\c didn’t we? There was some rough,stuff\c but I had fun. When you didn’t,react after I confessed\c I was on the,verge of tears\c but after that...I,really did cry.,,,,,,,
113,,\N[2],I’m going to leave town and move to the,Lost World with \N[6] and the others.,I wonder if you’ll have forgotten it all,by the time you read this? Hmm.,I can’t believe what \N[4] says\c but…,If we meet again\c I’ll make sure not,to say anything.,I’ll be praying for your happiness from,afar.,Thanks for everything.,,,
151,,\N[3],\N[3] worked as a wizard in a unit,during the war. She still wears her old,uniform in her patrols around the third,district. Her element is ice.,,,,,,,,,
152,,\N[3],\N[3]’s parents come from storied wizard,families and rule over the third,district. Though they were purged after,the war and lost their lands\c \N[3],regained it after the crystallization,strife.  \N[3]’s opposition to the,researcher group her parents were,a part of won her clemency after the,war\c letting her inherit the estate.,,,,
153,,\N[3],Spent most of her life over the past,seven years on the battlefield and is,talented at survival as a result. ,However\c her ability to take care of,herself during peacetime is sorely,lacking\c and her lack of academic,training leaves her poor at deskwork.,,,,,,
154,,\N[3],Takes a simple approach to her work,duties and does nothing unneeded\c a,habit gained from avoiding mortal,danger on the battlefield. This also,accounts for her lack of facial,expression.,,,,,,,
155,,\N[3],As lady of the estate\c she mainly tends,to exterminating monsters and making,sure no misuse of magic is happening,in her town.,,,,,,,,,
156,,\N[3],Though carried off by the Anti-Wizard,Coalition\c she returned to her patrols,the next day as if nothing had happened.,The Coalition disbanded soon after.,,,,,,,,,
157,,\N[3],Proposed and planned the monster-slaying,expedition to the northern snowfields.,Was lost along with \N[5] after being,caught in a sudden avalanche.,,,,,,,,,
158,,\N[3],Poisoned her parents and brother after,the magic war to become the ruler of,the third district.,,,,,,,,,,
159,,\N[3],Was found in an undeveloped area of the,northern snowfields by \N[1]\c \N[2],and \N[4]. She was said to be holding,raw vegetables in both hands when found.,,,,,,,,,
160,,\N[3],Cleared the town of monsters after,returning from the snowfields and bought,up a large field to plant vegetable,crops in.,,,,,,,,,
161,,\N[3],Gathered up and led a force to,successfully defeat the monsters during,the second night of black snow.,,,,,,,,,,
162,,\N[3],“\N[3] doesn’t show much emotion nowadays\c,but she was such a wimp back when she,joined the force\c always cowering behind,me and the like. She ended up the way,she is now after a harsh experience.,She started a vegetable field\c I heard?,Her expression’s been dead for so long\c,but she’s been showing some great,smiles lately. I feel like I’ve got a,load off my shoulders\c personally.”,,,
163,,\N[3],Consent Form:,This record is an explanation,of the purpose and process of,Subject \N[5]’s memory erasure. If you,have any questions\c please ask.,Enforcer: \N[7],(Contents Abridged),I have been fully informed and,give my informed consent.,Signature: \N[3],,,
164,,\N[3],“Heyyy! \N[3]! You’re not leaving,a message for \N[5]? Cold\c real cold!,He used to work for you\c you know!”,“…”,“\N[5]. Vegetables are tasty.”,“And...vegetables solve everything.”,,,,,,,
201,,\N[1],\N[1] is a wizard who makes a living,as an information dealer. Her element,is fire. She works for any and everyone\c,depending on how sweet the deal is.,,,,,,,,,
202,,\N[1],Has dealt in other illegal trades aside,from information dealing. This has won,her the ire of many.,,,,,,,,,,
203,,\N[1],Acted as a spy in the magic school sent,by the Western Kingdom during the,crystallization strife. She ran away,during the night of black snow\c only to,be picked up by \N[3].,Many other spies escaped around this,time\c disappearing in lands across,the country.,,,,,
204,,\N[1],Gained her magic through artificial,means. Has natural talent for magic\c but,no ability to manipulate her magic,power\c so she depends on infusions,of it through ether.,,,,,,,,
205,,\N[1],Was struck by the night of black snow,while on a mission as a spy to find,the Black Pearl. The night also heralded,the destruction of the Western Kingdom’s,spy unit.,,,,,,,,
206,,\N[1],Sheltered by \N[3] during the night of,black snow. Sheltering foreigners was,illegal at the time\c but exterminating,many monsters won her an exception.,,,,,,,,,
207,,\N[1],Attempted to absorb the magic power of,the Black Pearl fragment\c but failed and,turned into a monster. She regained,human form after \N[4] extracted the,fragment from her body.,,,,,,,,
208,,\N[1],Fought valiantly against the monsters ,during the second night of black snow,in the third district.,,,,,,,,,,
209,,\N[1],“Oh-hoh...so this is the device \N[5],used to experience the past he lost\c,huh? Sure\c \N[14] was saved when \N[5],lost his memories\c but I feel like \N[4],pressured him into agreeing. I can see,why \N[7] was worried. But...what if,after the experience\c \N[5] refused to,erase his memories and leave the device?,What then?”,,,,
210,,\N[1],Increasing Danger Level:,Though \N[1] aided in guiding the,amnesia-struck \N[5]\c she disappeared,around the cafe. Though her over-dosage,of ether ensures a short life\c her,possession of state secrets and,connection to the Western Kingdom means,that upon discovery\c she is to be,eliminated.,,,,
251,,\N[6],\N[6] is a wizard who runs an orphanage,in the third district. Takes care of war,orphans as its sole proprietor.,Dependable\c but inflexible and cannot,lie.,,,,,,,,
252,,\N[6],Though unable to hold her liquor\c she is,unable to turn down a drink. Said to,have a rather intense relationship with,her old acquaintance\c \N[7].,,,,,,,,,
253,,\N[6],Passed the torch of her magic platoon,to \N[3] after the night of black snow,and retired\c complaining of ether,overdose bringing her near her limit.,Began to run an orphanage after,leaving magic behind.,,,,,,,
254,,\N[6],Was sent to the Western Kingdom as a,diplomatic agent after the magic war.,Shared magic techniques during her post,and helped establish a friendly,relationship with the other country. The,Western Kingdom’s level of magic,refinement saw rapid development after.,,,,,,
255,,\N[6],The orphanage mainly holds children with,magic talents. She instructs them not to,use their powers\c but makes an exception,for \N[2]\c hoping she will protect her,in the off-chance someone comes at her.,,,,,,,,
256,,\N[6],Was a captain during her days leading,a magic platoon. Her skill in combat and,charismatic leadership won her the trust,of her troops. Her lack of ability to,argue\c however\c often worried those,around her.,,,,,,,
257,,\N[6],An orphan herself. After being scouted,into the magic school and joining the,army\c she sent most of her income to,her orphanage. This orphanage\c however\c,was destroyed during the night of black,snow.,,,,,,,
301,,\N[7],\N[4]’s older sister. A researcher of,magic for a certain organization.,According to \N[6]\c once she has decided,on something\c she will go to any length,to achieve it. A genius of effort\c she,said. She can also hold her liquor,very well.,,,,,,
302,,\N[7],Met and served with \N[6] during the,magic war. Contributed to ending the war,by revealing that it was caused by the,researcher faction conducting a combat,experiment with their lab-made monsters.,,,,,,,,
303,,\N[7],Lost her magic after the war\c due to,transferring it all to \N[6]\c who was,suffering a fatal magic loss.,,,,,,,,,,
304,,\N[7],After the night of black snow\c she began,researching magic in secret as part of,a certain organization.,,,,,,,,,,
305,,\N[7],Had telepathy\c the ability to read minds,and communicate through thoughts by,connecting her magic to others\c but she,lost it when she lost her magic powers.,Turning telepathy into a more,controllable ability is part of her,research.,,,,,,
306,,\N[7],■ Project Re:Kuroi Start Phase,As \N[4]’s plan successfully cleared the,third district and old magic school’s,basement of monsters\c we will move to,the research phase of analyzing the,Black Pearl and its influence. Though,\N[5]’s memories have already been,wiped\c we will hold until the next,research phase.,,,,
307,,\N[7],■ Monster Transformation,We hypothesize that\c just as \N[4],predicted\c monster transformation is,caused by Black-type magic.,Ways to revert them to their original,is difficult\c as it depends on the,monster. However\c since most were,transformed by the Black Pearl\c we will,prioritize its research.,,,,
308,,\N[7],■ The Night of Black Snow,Though the black snow on this night was,formed from fragments of the Black Pearl,mixing in with the natural snow\c it has,been proven that the Black Pearl itself,has no influence on flora or fauna. We,will continue researching the monsters,in the northern snowfields under the,hypothesis that their transformation,was due to their will and desires.,,,
309,,\N[7],■ Memories of \N[5],After gradually erasing her memories of,\N[5]\c we saw an improvement in \N[14]’s,condition. We will project the erased,memories into \N[5] and confirm their,influence. \N[7] will conduct the,projection.,,,,,,
310,,\N[7],■ Memory Projection into \N[5],When \N[5] regained memories of \N[5]\c,her condition worsened. We will erase,\N[5]’s memories once again and continue,to observe the condition of both.,,,,,,,,
311,,\N[7],■ Memory Preservation and Transformation,We conclude that it will be difficult to,preserve memories of \N[5] and ,\N[14]’s condition. ,,,,,,,,,
312,,\N[7],■ Moving Forward,After dealing with all memories relating,to \N[5]\c \N[14] was fully healed. ,We will now once again project memories,into \N[5] and explain the process of,Re:Kuroi to him. We will not allow,anyone involved outside contact until we,gain \N[5]’s consent.,,,,,
313,,\N[7],■ The End of Project Re:Kuroi,With \N[5]’s consent\c we erased all,memories of him. Next\c we will analyze,\N[5] and confirm the level of,influence. \N[1] will accompany him\c,and \N[4] and \N[7] will continue,to observe the process.,,,,,,
314,,\N[7],Before the night of black snow\c ■■■ and,■■■ visited me\c bringing the Black,Pearl. Though they did not tell me ,the reason\c after continuing my,research\c I finally understand.,,,,,,,,
315,,\N[7],\N[6] tells me they went on a ship to a,far-off world. They were trying to get,as far away from our world to dim their,memories of it\c I see. I imagine we,will never meet again. Time should solve,the problem the night of black snow left,behind. I won’t be able to see that,myself\c so I will leave this to ■■ in,the Lost World. I just know that one ,day\c magic will fade fully from this,world\c and we will finally have peace.,,
401,,\N[11],\N[11] is a girl who lives in \N[6]’s,orphanage. The oldest of the children\c,she has an interest in magic.,,,,,,,,,,
406,,\N[12],\N[12] is a boy who lives in \N[6]’s,orphanage. Worried about his home’s,financial situation\c he quietly studies,on his own.,,,,,,,,,
411,,\N[13],\N[13] is a boy who lives in \N[6]’s,orphanage. The youngest of the children\c,he seems to have an interest in cooking.,,,,,,,,,,
416,,\N[14],\N[14] is a girl \N[5] met in the,secret mountain.,,,,,,,,,,,
417,,\N[14],A war orphan who survives by stealing,from the marketplace. Tends to be,particular about her targets. Has also,been seen singing around the secret,mountain.,,,,,,,,
418,,\N[14],She disappeared after the kidnapping.,Not even her fellow street children knew,where she could be off to. On the other,hand\c with their leader lost\c local,children completely stopped picking,the pockets of the populace.,,,,,,,
501,,Monsters,Aberrant beings aggressive towards,humans. Many believe the rumors that,monsters are what became of wizards,after the war\c and researchers who,failed their experiments.,,,,,,,,
502,,Monsters,The end of the magic war brought,monsters into the public eye.,Previously\c the strong walls and magic,barriers kept them hidden from,the general populace.,,,,,,,,
511,,The Black Pearl,A black pearl\c thought to be the source of magic.,Though previously in possession of the Lost,World\c it found itself in the halls of the magic,school after the Lost World’s defeat at,the wizards’ hands. Its current whereabouts,are unknown.,,,,,,,
521,,Boomnswish,A strange flower that only blooms under,the solar eclipse. It symbolizes,siblings\c bonds\c and hate. For some,reason\c it bursts after blooming.,,,,,,,,,
541,,Coffee Milk,A drink made with coffee made from,beans mixed with plenty of milk and,sugar. \N[4] particularly likes it with,her coffee and sugar in equal measure.,,,,,,,,,
701,,Night of Black Snow,A phenomenon that took place at the end,of the civil war two years ago. An,explosion rang out in the sky over the,northern snowfields\c followed by the,descent of black snow\c giving the,night its name.,,,,,,,
702,,Night of Black Snow,Highly active monsters spawned wherever,the black snow fell\c causing no end,to trouble in those unfortunate regions.,,,,,,,,,,
703,,Night of Black Snow,The black snow was concentrated in,a village in the northern snowfields\c,continuing for a night. It was a mix of,snow and Black Pearl fragments\c and,reports say that its powerful magic,turned flora\c fauna and humans alike,into monsters.,,,,,,
711,,Crystallization Strife,Another name for the magic school’s,civil war from two years ago. After,the magic war\c the Western Kingdom and,the magic school aimed for a treaty,that would encourage the peaceful use,of magic\c but the researchers of the,school opposed the motion\c splitting ,into factions for and against. The,conflict came to be known as the ,crystallization strife\c because although,the organization seemed unified at,first\c its internal divisions came,to light with time.
712,,Crystallization Strife,During the crystallization strife\c ■■■\c,the current principal of the school,disappeared with both the Black Pearl,and the wizard ■■■. This brought the,conflict to a halt.,,,,,,,,
713,,Crystallization Strife,During the large-scale search for,the Black Pearl\c the night of black snow,occurred\c throwing the land into chaos.,The magic school was held responsible,and fell into disgrace\c ending in its,disbanding. Though the researcher,faction was executed\c the army avoided,responsibility due to their efforts in,calming the black snow’s chaos.,,,,
721,,The Magic War,The war between the Western Kingdom and,the magic school four years ago. The,magic school invaded first\c and the,Western Kingdom defended itself. The,conflict ended with the death of the,magic school’s founder.,,,,,,,
722,,The Magic War,The invasion had two purposes: Expanding,the magic school’s sphere of influence\c,and testing their monsters as weapons,of war. This was a plot by the,researchers to bring the army to ruin\c,but the Western Kingdom’s valiant,efforts and the army’s opposition,rendered this a failure.,,,,,
731,,Orphan Kidnapping,An incident in which three orphans were,kidnapped from the orphanage. The,children managed to escape on their own.,Eyewitness accounts say the culprits,were a group of bandits\c and their,current location is unknown.,Contradictory accounts from eyewitnesses,have left this incident shrouded in,mystery.,,,,
751,,Anti-Wizard Coalition,A religious organization that formed,after the night of black snow. They hate,magic and wizards and are not well-loved,by the populace. People say it was them,who spread the rumors that wizards,turn into monsters.,,,,,,,
752,,Anti-Wizard Coalition,The coalition was formed by those who,lost their homes on the night of black,snow. When \N[3] cleared the northern,snowfields of monsters\c the group,naturally fell apart.,,,,,,,,
901,,Old Magic School,A school formed after the rise and,fall of the other\c mightier magic,school. Though it only taught magic from,before the magic war\c it abandoned this,subject after the conflict and changed,its name to the Old Magic School. Entry,requires a large sum in enrollment fees,or headhunting from a recruiter\c so,the student body is mainly comprised,of nobles.,,,
904,,The Third District,A district adjacent to the magic school.,Though historically ruled by wizards\c,the regime change during the war has,left the area’s government in an,unstable state.,,,,,,,,
907,,Secret Mountain,A mountain behind the third district.,Full of monsters\c so people tend to,stay away.,,,,,,,,,,
910,,Clock Tower,A structure on the old magic school’s,campus. Stands five feet tall with,a spiral construction. Popular among,students as a secret meeting place.,,,,,,,,,
913,,Cafe,The cafe \N[2] works in. Though,originally a bar the owner operated,alone\c after he adopted \N[2]\c,it became a cafe by day and ,bar by night.,,,,,,,,
916,,Bandit Hideout,A cave some ways away from the third,district. Bandits keep goods obtained,from the market and dark dealings here.,,,,,,,,,,
919,,Magic School,An organization that used the Black,Pearl to gain power and influence.,Though they boasted the greatest,military might on the continent\c the,magic war and crystallization strife saw,them weaken and eventually collapse.,They returned the occupied lands to the,lords who owned them before the war.,,,,,
922,,Northern Snowfields,The main site of the black snow\c and,the waves of monsters that followed.,A few villages line the fields\c small,and rarely visited. The fields ,see yearlong snow\c with each village,having its own\c unique culture.,,,,,,,
